,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,TL
0,20862633,27 Ağustos 2022,Fiat,Egea,1.4 Fire Street,2021,27.000 km,Düz,Benzin,Hatchback/5,1368 cc,95 hp,Önden Çekiş,"6,6 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,362.000
1,20862380,27 Ağustos 2022,Renault,Clio,1.0 TCe Touch,2021,21.000 km,Otomatik,Benzin,Hatchback/5,999 cc,100 hp,Önden Çekiş,5 lt,42 lt,Belirtilmemiş,Takasa Uygun,Galeriden,489.500
2,20862220,27 Ağustos 2022,Renault,Fluence,1.5 dCi Icon,2015,121.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,422.000
3,20861832,27 Ağustos 2022,Skoda,SuperB,1.6 TDI Active,2017,154.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,650.000
4,20861631,27 Ağustos 2022,Honda,Accord,2.0 Executive,2011,132.500 km,Otomatik,Benzin,Sedan,1998 cc,156 hp,Önden Çekiş,"7,3 lt",65 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,445.000
5,20861617,27 Ağustos 2022,BMW,5 Serisi,520i M Sport,2014,155.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1.100.000
6,20861027,27 Ağustos 2022,Ford,Focus,1.5 TDCi Trend X,2017,144.500 km,Yarı Otomatik,Dizel,Station wagon,1499 cc,120 hp,Önden Çekiş,"4,2 lt",53 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,470.000
7,18926909,26 Ağustos 2022,Volkswagen,Golf,1.0 TSi Highline,2018,48.500 km,Yarı Otomatik,Benzin,Hatchback/5,999 cc,110 hp,Önden Çekiş,5 lt,50 lt,2 değişen,Takasa Uygun,Galeriden,680.000
8,20856908,26 Ağustos 2022,Skoda,Octavia,1.6 TDI Optimal,2018,120.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,539.000
9,20856890,26 Ağustos 2022,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2016,156.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,515.000
